business id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,,,,
lj0MiK5_fyv9df2twnsI7g,"""Pampered Hair Passionate about Hair""",Anthem,"""2470 Paseo Verde Pkwy""",Henderson,NV,89074,36.0194946,-115.0947223,5,3,1,Hair Salons;Blow Dry/Out Services;Hair Stylists;Beauty & Spas;Hair Extensions,,,,
strJsTvTHqWS18GVJQEHoA,"""Synergy Physical Therapy""",,"""1710 W Horizon Ridge Pkwy, Ste 110""",Henderson,NV,89012,36.0125267,-115.0637507,5,22,1,Weight Loss Centers;Physical Therapy;Health & Medical,,,,
e3rNvRnupvSMu6BABlDUuQ,"""Henderson Pet Resort""",,"""1450 W Horizon Ridge Pkwy, Ste 425""",Henderson,NV,89012,36.02230033,-115.0501843,5,68,1,Pet Groomers;Pet Sitting;Pets;Pet Services;Pet Training,,,,
DAG8irsIf0hMsEgDbrOE_A,"""Layla's Palace""",Eastside,"""3430 E Tropicana Ave""",Las Vegas,NV,89121,36.1009203,-115.099617,5,5,1,Wedding Planning;Venues & Event Spaces;Shopping;Bridal;Event Planning & Services,,,,
OcUVZniPo7CnIG-Tv83XcQ,"""Karl M Larsen, OD""",Northwest,"""8660 W Cheyenne Ave, Ste 120""",Las Vegas,NV,89129,36.2189115,-115.2838436,5,3,1,Optometrists;Health & Medical;Eyewear & Opticians;Shopping,,,,
EXsmUB2mJyJsCpCV-56Ujw,"""Paulina Clute Events""",,"""5888 Spring Ranch Pkwy""",Las Vegas,NV,89118,36.090924,-115.2221746,5,16,1,Party & Event Planning;Wedding Planning;Event Planning & Services,,,,
swZaqSjwq4UF8QhEtacx5A,"""EasyStreet Realty""",Southeast,"""1421 E Sunset Rd, Ste 10""",Las Vegas,NV,89119,36.0712299,-115.1330676,5,5,1,Real Estate Services;Real Estate;Home Services,,,,
onb5syYKz4Wf3cwQWuqv1A,"""Recinos Shoe Repair""",,"""3250 Civic Center Dr""",North Las Vegas,NV,89030,36.2194899,-115.1192341,5,13,1,Sewing & Alterations;Local Services;Shoe Repair,,,,
2Hv5ELUYvnkZtCLZaBhTcw,"""Thy Word Ministries""",Southeast,"""5820 S Pecos Rd, Ste 400""",Las Vegas,NV,89120,36.0837776,-115.1004693,5,4,1,Churches;Religious Organizations,,,,
WghcqSAGCzKOhprLblYWVA,"""Get Results Personal Training""",Westside,"""7980 W Sahara Ave""",Las Vegas,NV,89117,36.14484787,-115.2649994,5,25,1,Active Life;Boot Camps;Trainers;Fitness & Instruction;Gyms,,,,
FtexOfH0spZrWcfj0LATiA,"""Green O' Aces Pools & Landscape""",Westside,"""9300 Provence Garden Ln""",Las Vegas,NV,89145,36.1683449,-115.2659777,5,5,1,Pool & Hot Tub Service;Home Services;Landscape Architects;Active Life;Contractors;Swimming Pools;Landscaping,,,,
